time_s,enable,oid_state,Rs_ohm,Ld_H,Lq_H,flux_Wb,deadtime_comp_V,encoder_substate,encoder_fault,mechanical_substate,identified_pole_pairs,encoder_offset_pu,inertia_kg_m2,viscous_friction_Nm_s,load_torque_Nm,speed_pu,running,plant_id_A,plant_iq_A,plant_omega_rad_s
0.115,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0886739687521185e-07,0.0,0.0,0.0,0.0
0.116,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.581800242131067e-08,0.0,0.0,0.0,0.0
0.117,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.433277542962969e-08,0.0,0.0,0.0,0.0
0.11800000000000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.422422498848391e-08,0.0,0.0,0.0,0.0
0.11900000000000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.53273346529204e-08,0.0,0.0,0.0,0.0
0.12000000000000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.749687659317715e-08,0.0,0.0,0.0,0.0
0.12100000000000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.060501351294988e-08,0.0,0.0,0.0,0.0
0.12200000000000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.453924162817202e-08,0.0,0.0,0.0,0.0
0.12300000000000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.920054325590172e-08,0.0,0.0,0.0,0.0
0.124,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4501766776884324e-08,0.0,0.0,0.0,0.0
0.125,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.036621265550821e-08,0.0,0.0,0.0,0.0
0.126,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6726365121021445e-08,0.0,0.0,0.0,0.0
0.127,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3522808589859778e-08,0.0,0.0,0.0,0.0
0.128,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0703245340314425e-08,0.0,0.0,0.0,0.0
0.129,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8221651743033362e-08,0.0,0.0,0.0,0.0
0.13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6037510874866712e-08,0.0,0.0,0.0,0.0
0.131,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4115173918582968e-08,0.0,0.0,0.0,0.0
0.132,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2423257977900448e-08,0.0,0.0,0.0,0.0
0.133,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0934143368501736e-08,0.0,0.0,0.0,0.0
0.134,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62352153521806e-09,0.0,0.0,0.0,0.0
0.135,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.469997148097264e-09,0.0,0.0,0.0,0.0
0.136,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.454739936463284e-09,0.0,0.0,0.0,0.0
0.137,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5611773791829364e-09,0.0,0.0,0.0,0.0
0.138,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.774721589801857e-09,0.0,0.0,0.0,0.0
0.139,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.082533949263279e-09,0.0,0.0,0.0,0.0
0.14,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.473315939890199e-09,0.0,0.0,0.0,0.0
0.14100000000000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9371221838280235e-09,0.0,0.0,0.0,0.0
0.14200000000000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4651990166167934e-09,0.0,0.0,0.0,0.0
0.14300000000000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0498428227332397e-09,0.0,0.0,0.0,0.0
0.14400000000000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6842734701659765e-09,0.0,0.0,0.0,0.0
