generation,time_seconds,channel_0,channel_1
2,0.261,-8.07046890258789e-05,-0.9998824596405029
2,0.262,-0.30905741453170776,-0.9509198069572449
2,0.263,-0.8089693188667297,-0.5876508951187134
2,0.264,-0.8089693188667297,-0.5876508951187134
2,0.265,-0.9509696364402771,-0.30890393257141113
2,0.266,-0.9998824596405029,8.07046890258789e-05
2,0.267,-0.9509198069572449,0.30905741453170776
2,0.268,-0.5876508951187134,0.8089693188667297
2,0.269,-0.5876508951187134,0.8089693188667297
2,0.27,-0.30890393257141113,0.9509696364402771
2,0.271,8.07046890258789e-05,0.9998824596405029
2,0.272,0.30905741453170776,0.9509198069572449
2,0.273,0.5877814292907715,0.8088744878768921
2,0.274,0.8089693188667297,0.5876508951187134
2,0.275,0.9509696364402771,0.30890393257141113
2,0.276,0.9998824596405029,-8.07046890258789e-05
2,0.277,0.9509198069572449,-0.30905741453170776
2,0.278,0.8088744878768921,-0.5877814292907715
2,0.279,0.5876508951187134,-0.8089693188667297
2,0.28,0.30890393257141113,-0.9509696364402771
2,0.281,-8.07046890258789e-05,-0.9998824596405029
2,0.282,-0.30905741453170776,-0.9509198069572449
2,0.283,-0.5877814292907715,-0.8088744878768921
2,0.284,-0.8089693188667297,-0.5876508951187134
2,0.285,-0.9509696364402771,-0.30890393257141113
2,0.286,-0.9998824596405029,8.07046890258789e-05
2,0.287,-0.9509198069572449,0.30905741453170776
2,0.288,-0.8088744878768921,0.5877814292907715
2,0.289,-0.5876508951187134,0.8089693188667297
2,0.29,-0.30890393257141113,0.9509696364402771
2,0.291,8.07046890258789e-05,0.9998824596405029
2,0.292,0.30905741453170776,0.9509198069572449
2,0.293,0.5877814292907715,0.8088744878768921
2,0.294,0.8089693188667297,0.5876508951187134
2,0.295,0.9509696364402771,0.30890393257141113
2,0.296,0.9998824596405029,-8.07046890258789e-05
2,0.297,0.9509198069572449,-0.30905741453170776
2,0.298,0.8088744878768921,-0.5877814292907715
2,0.299,0.5876508951187134,-0.8089693188667297
2,0.3,0.30890393257141113,-0.9509696364402771
2,0.301,-8.07046890258789e-05,-0.9998824596405029
2,0.302,-0.30905741453170776,-0.9509198069572449
2,0.303,-0.5877814292907715,-0.8088744878768921
2,0.304,-0.8089693188667297,-0.5876508951187134
2,0.305,-0.9509696364402771,-0.30890393257141113
2,0.306,-0.9998824596405029,8.07046890258789e-05
2,0.307,-0.9509198069572449,0.30905741453170776
2,0.308,-0.8088744878768921,0.5877814292907715
2,0.309,-0.5876508951187134,0.8089693188667297
2,0.31,-0.30890393257141113,0.9509696364402771
2,0.311,8.07046890258789e-05,0.9998824596405029
2,0.312,0.30905741453170776,0.9509198069572449
2,0.313,0.5877814292907715,0.8088744878768921
2,0.314,0.8089693188667297,0.5876508951187134
2,0.315,0.9998824596405029,-8.07046890258789e-05
2,0.316,0.9998824596405029,-8.07046890258789e-05
2,0.317,0.9509198069572449,-0.30905741453170776
2,0.318,0.8088744878768921,-0.5877814292907715
2,0.319,0.5876508951187134,-0.8089693188667297
2,0.32,-8.07046890258789e-05,-0.9998824596405029
2,0.321,-8.07046890258789e-05,-0.9998824596405029
2,0.322,-0.30905741453170776,-0.9509198069572449
2,0.323,-0.5877814292907715,-0.8088744878768921
2,0.324,-0.8089693188667297,-0.5876508951187134
2,0.325,-0.9509696364402771,-0.30890393257141113
2,0.326,-0.9998824596405029,8.07046890258789e-05
2,0.327,-0.9509198069572449,0.30905741453170776
2,0.328,-0.8088744878768921,0.5877814292907715
2,0.329,-0.5876508951187134,0.8089693188667297
2,0.33,-0.30890393257141113,0.9509696364402771
2,0.331,8.07046890258789e-05,0.9998824596405029
2,0.332,0.30905741453170776,0.9509198069572449
2,0.333,0.5877814292907715,0.8088744878768921
2,0.334,0.8089693188667297,0.5876508951187134
2,0.335,0.9509696364402771,0.30890393257141113
2,0.336,0.9998824596405029,-8.07046890258789e-05
2,0.337,0.9509198069572449,-0.30905741453170776
2,0.338,0.8088744878768921,-0.5877814292907715
2,0.339,0.5876508951187134,-0.8089693188667297
2,0.34,0.30890393257141113,-0.9509696364402771
2,0.341,-8.07046890258789e-05,-0.9998824596405029
2,0.342,-0.30905741453170776,-0.9509198069572449
2,0.343,-0.5877814292907715,-0.8088744878768921
2,0.344,-0.8089693188667297,-0.5876508951187134
2,0.345,-0.9509696364402771,-0.30890393257141113
2,0.346,-0.9998824596405029,8.07046890258789e-05
2,0.347,-0.9509198069572449,0.30905741453170776
2,0.348,-0.8088744878768921,0.5877814292907715
2,0.349,-0.5876508951187134,0.8089693188667297
2,0.35,-0.30890393257141113,0.9509696364402771
2,0.351,8.07046890258789e-05,0.9998824596405029
2,0.352,0.30905741453170776,0.9509198069572449
2,0.353,0.5877814292907715,0.8088744878768921
2,0.354,0.8089693188667297,0.5876508951187134
2,0.355,0.9509696364402771,0.30890393257141113
2,0.356,0.9998824596405029,-8.07046890258789e-05
2,0.357,0.9509198069572449,-0.30905741453170776
2,0.358,0.8088744878768921,-0.5877814292907715
2,0.359,0.5876508951187134,-0.8089693188667297
2,0.36,0.30890393257141113,-0.9509696364402771
2,0.361,-8.07046890258789e-05,-0.9998824596405029
2,0.362,-0.30905741453170776,-0.9509198069572449
2,0.363,-0.5877814292907715,-0.8088744878768921
2,0.364,-0.8089693188667297,-0.5876508951187134
2,0.365,-0.9509696364402771,-0.30890393257141113
2,0.366,-0.9998824596405029,8.07046890258789e-05
2,0.367,-0.8088744878768921,0.5877814292907715
2,0.368,-0.8088744878768921,0.5877814292907715
2,0.369,-0.5876508951187134,0.8089693188667297
2,0.37,-0.30890393257141113,0.9509696364402771
2,0.371,0.30905741453170776,0.9509198069572449
2,0.372,0.30905741453170776,0.9509198069572449
2,0.373,0.5877814292907715,0.8088744878768921
2,0.374,0.8089693188667297,0.5876508951187134
2,0.375,0.9509696364402771,0.30890393257141113
2,0.376,0.9998824596405029,-8.07046890258789e-05
2,0.377,0.9509198069572449,-0.30905741453170776
2,0.378,0.8088744878768921,-0.5877814292907715
2,0.379,0.5876508951187134,-0.8089693188667297
2,0.38,0.30890393257141113,-0.9509696364402771
2,0.381,-8.07046890258789e-05,-0.9998824596405029
2,0.382,-0.30905741453170776,-0.9509198069572449
2,0.383,-0.5877814292907715,-0.8088744878768921
2,0.384,-0.8089693188667297,-0.5876508951187134
2,0.385,-0.9509696364402771,-0.30890393257141113
2,0.386,-0.9998824596405029,8.07046890258789e-05
2,0.387,-0.9509198069572449,0.30905741453170776
2,0.388,-0.8088744878768921,0.5877814292907715
2,0.389,-0.5876508951187134,0.8089693188667297
2,0.39,-0.30890393257141113,0.9509696364402771
2,0.391,8.07046890258789e-05,0.9998824596405029
2,0.392,0.30905741453170776,0.9509198069572449
2,0.393,0.5877814292907715,0.8088744878768921
2,0.394,0.8089693188667297,0.5876508951187134
2,0.395,0.9509696364402771,0.30890393257141113
2,0.396,0.9998824596405029,-8.07046890258789e-05
2,0.397,0.9509198069572449,-0.30905741453170776
2,0.398,0.8088744878768921,-0.5877814292907715
2,0.399,0.5876508951187134,-0.8089693188667297
